Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,602,05700,000000,Sub-District - Ambattur,Urban,852495,430235,422260,744778,376723,368055,31290,15868,15422,66927,33279,33648,442,237,205,297,164,133,1152,616,536,143,67,76,7466,3281,4185
C0101,33,602,05700,629171,Ayappakkam (CT),Urban,29511,15117,14394,25263,12964,12299,1096,571,525,2470,1276,1194,9,5,4,25,16,9,51,30,21,12,5,7,585,250,335
C0101,33,602,05700,629172,Nolambur (CT),Urban,21973,11181,10792,19081,9735,9346,900,456,444,1860,934,926,23,12,11,14,7,7,12,7,5,2,1,1,81,29,52
C0101,33,602,05700,629173,Nerkunram (CT),Urban,59790,30550,29240,53843,27578,26265,1774,899,875,3718,1885,1833,13,8,5,13,3,10,7,3,4,11,3,8,411,171,240
C0101,33,602,05700,629174,Vanagaram (CT),Urban,19208,9796,9412,17497,8898,8599,631,318,313,941,502,439,3,1,2,9,6,3,14,10,4,5,4,1,108,57,51
C0101,33,602,05700,629175,Karambakkam (CT),Urban,21376,10759,10617,18831,9434,9397,1400,742,658,1006,504,502,4,2,2,14,10,4,48,29,19,1,0,1,72,38,34
C0101,33,602,05700,629176,Ramapuram (CT),Urban,52295,26651,25644,45863,23502,22361,1539,801,738,3293,1670,1623,66,38,28,13,7,6,27,15,12,8,6,2,1486,612,874
C0101,33,602,05700,803325,Tiruverkadu (M + OG) (Part),Urban,1874,916,958,1761,862,899,17,7,10,96,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,33,602,05700,803328,Ambattur (M),Urban,466205,234923,231282,403430,203751,199679,17152,8641,8511,41731,20631,21100,232,127,105,169,92,77,784,406,378,63,27,36,2644,1248,1396
C0101,33,602,05700,803329,Maduravoyal (M),Urban,86195,43253,42942,77120,38736,38384,3546,1789,1757,5115,2535,2580,40,21,19,17,9,8,58,36,22,8,4,4,291,123,168
C0101,33,602,05700,803330,Valasaravakkam (M),Urban,47378,23639,23739,42695,21315,21380,1620,815,805,2741,1351,1390,25,11,14,7,4,3,80,43,37,0,0,0,210,100,110
C0101,33,602,05700,803331,Porur (TP),Urban,46690,23450,23240,39394,19948,19446,1615,829,786,3956,1944,2012,27,12,15,16,10,6,71,37,34,33,17,16,1578,653,925
C0101,33,602,05701,000000,Sub-District - Mathavaram,Total,596156,301303,294853,501592,254224,247368,35860,18093,17767,53361,26455,26906,369,209,160,252,133,119,1168,613,555,144,79,65,3410,1497,1913
C0101,33,602,05701,000000,Sub-District - Mathavaram,Rural,29360,14752,14608,27694,13913,13781,498,253,245,1064,533,531,6,4,2,6,3,3,1,1,0,4,2,2,87,43,44
C0101,33,602,05701,000000,Sub-District - Mathavaram,Urban,566796,286551,280245,473898,240311,233587,35362,17840,17522,52297,25922,26375,363,205,158,246,130,116,1167,612,555,140,77,63,3323,1454,1869
C0101,33,602,05701,629195,Theerthagiriyampattu (CT),Urban,5412,2722,2690,4960,2484,2476,61,32,29,379,203,176,0,0,0,1,0,1,0,0,0,0,0,0,11,3,8
C0101,33,602,05701,629196,Mathur (CT),Urban,27674,14081,13593,23413,11903,11510,1674,871,803,2414,1222,1192,47,21,26,5,3,2,26,15,11,15,7,8,80,39,41
C0101,33,602,05701,629197,Kadhirvedu (CT),Urban,7580,3836,3744,6278,3194,3084,290,144,146,995,491,504,4,3,1,7,2,5,4,2,2,0,0,0,2,0,2
C0101,33,602,05701,629198,Soorapattu (CT),Urban,10444,5495,4949,9246,4874,4372,284,165,119,867,434,433,3,3,0,1,0,1,3,1,2,9,4,5,31,14,17
C0101,33,602,05701,629199,Puthagaram (CT),Urban,10263,5234,5029,8979,4621,4358,180,92,88,551,289,262,8,5,3,1,1,0,38,25,13,3,2,1,503,199,304
